0.6110294,0.05802003,0.55697154,0.74590899,0.51003624,0.85879004,0.97210303,0.02360602,0.11713087,0.82003365
0.74841326,0.20922629,0.29084732,0.55306563,0.86260965,0.47560922,0.61273425,0.46514437,0.88417461,0.50125222
0.57094678,0.98340153,0.6297977,0.38659087,0.62390463,0.96004713,0.25921152,0.45186194,0.15886754,0.34425481
0.19962118,0.55682343,0.598912,0.79043921,0.99004558,0.03668873,0.55376061,0.14964597,0.82334886,0.23328159
0.97501647,0.60742459,0.006515,0.91342396,0.72298573,0.67879547,0.72108498,0.33623695,0.32754514,0.79418875
0.20681971,0.7603088,0.17995055,0.96623669,0.60813216,0.75602974,0.37194381,0.04059337,0.67967694,0.14611186
0.7765846,0.33173575,0.01149041,0.71770662,0.87387152,0.01923358,0.98111953,0.58065938,0.57648757,0.44392881
0.02624129,0.79599869,0.18842014,0.598511,0.47082316,0.48771472,0.42445857,0.45478869,0.37564408,0.85863171
0.99739869,0.17226358,0.14172415,0.76002625,0.28027327,0.49382852,0.66386209,0.6215156,0.42676669,0.57558707
0.81452351,0.33721972,0.09415801,0.22298298,0.75335168,0.67553907,0.25024303,0.66807561,0.93858126,0.73737007
